="{Table A3: Marginal effects: Robussness I}"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="",="",="",="(0.026)",="(0.025)",="(0.029)",="",="",=""
="2011 z_cost",="",="",="",="0.000",="0.000",="0.000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="",="",=""
="2014 evolcifra",="",="",="",="",="",="",="-0.005",="-0.017",="-0.015"
="",="",="",="",="",="",="",="(0.021)",="(0.023)",="(0.024)"
="2014 bsupport",="",="",="",="",="",="",="-0.051***",="-0.055***",="-0.064***"
="",="",="",="",="",="",="",="(0.018)",="(0.018)",="(0.021)"
="2014 ln_size",="",="",="",="",="",="",="0.015*",="0.008",="0.007"
="",="",="",="",="",="",="",="(0.009)",="(0.009)",="(0.010)"
="2014 ln_age",="",="",="",="",="",="",="0.016",="0.024",="0.020"
="",="",="",="",="",="",="",="(0.016)",="(0.015)",="(0.018)"
="2014 ln_gintidpt",="",="",="",="",="",="",="0.009***",="0.013***",="0.014***"
="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.002)"
="2014 depth",="",="",="",="",="",="",="0.001",="-0.002",="-0.001"
="",="",="",="",="",="",="",="(0.004)",="(0.004)",="(0.005)"
="2014 breadth",="",="",="",="",="",="",="0.018***",="0.011***",="0.019***"
="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)"
="2014 financial_constraints",="",="",="",="",="",="",="0.029",="0.039**",="0.045**"
="",="",="",="",="",="",="",="(0.019)",="(0.018)",="(0.021)"
="2014 knowledge_barriers",="",="",="",="",="",="",="0.034**",="0.020",="0.026"
="",="",="",="",="",="",="",="(0.017)",="(0.016)",="(0.019)"
="2014 dominated_barrier",="",="",="",="",="",="",="0.013",="0.015",="0.024"
="",="",="",="",="",="",="",="(0.018)",="(0.017)",="(0.020)"
="2014 uncertainty_barrier",="",="",="",="",="",="",="0.011",="-0.004",="-0.002"
="",="",="",="",="",="",="",="(0.017)",="(0.017)",="(0.020)"
="2014 higher_education",="",="",="",="",="",="",="-0.030",="-0.042",="-0.039"
="",="",="",="",="",="",="",="(0.033)",="(0.032)",="(0.037)"
="2014 bip",="",="",="",="",="",="",="0.050***",="0.061***",="0.066***"
="",="",="",="",="",="",="",="(0.016)",="(0.015)",="(0.018)"
="2014 group",="",="",="",="",="",="",="-0.007",="0.017",="0.005"
