="{Table A3: Coefficients-Robussness I}"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="2014 evolcifra",="",="",="",="",="",="",="-0.024",="-0.086",="-0.058"
="",="",="",="",="",="",="",="(0.096)",="(0.114)",="(0.092)"
="2014 bsupport",="",="",="",="",="",="",="-0.238***",="-0.274***",="-0.244***"
="",="",="",="",="",="",="",="(0.086)",="(0.088)",="(0.079)"
="2014 ln_size",="",="",="",="",="",="",="0.071*",="0.040",="0.027"
="",="",="",="",="",="",="",="(0.043)",="(0.044)",="(0.039)"
="2014 ln_age",="",="",="",="",="",="",="0.074",="0.117",="0.075"
="",="",="",="",="",="",="",="(0.072)",="(0.075)",="(0.067)"
="2014 ln_gintidpt",="",="",="",="",="",="",="0.040***",="0.065***",="0.054***"
="",="",="",="",="",="",="",="(0.010)",="(0.011)",="(0.009)"
="2014 depth",="",="",="",="",="",="",="0.007",="-0.010",="-0.004"
="",="",="",="",="",="",="",="(0.019)",="(0.020)",="(0.018)"
="2014 breadth",="",="",="",="",="",="",="0.085***",="0.056***",="0.072***"
="",="",="",="",="",="",="",="(0.012)",="(0.012)",="(0.011)"
="2014 financial_constraints",="",="",="",="",="",="",="0.137",="0.195**",="0.173**"
="",="",="",="",="",="",="",="(0.089)",="(0.091)",="(0.081)"
="2014 knowledge_barriers",="",="",="",="",="",="",="0.157**",="0.097",="0.099"
="",="",="",="",="",="",="",="(0.077)",="(0.080)",="(0.073)"
="2014 dominated_barrier",="",="",="",="",="",="",="0.060",="0.073",="0.092"
="",="",="",="",="",="",="",="(0.084)",="(0.086)",="(0.078)"
="2014 uncertainty_barrier",="",="",="",="",="",="",="0.050",="-0.021",="-0.006"
="",="",="",="",="",="",="",="(0.081)",="(0.084)",="(0.075)"
="2014 higher_education",="",="",="",="",="",="",="-0.140",="-0.207",="-0.148"
="",="",="",="",="",="",="",="(0.153)",="(0.159)",="(0.141)"
="2014 bip",="",="",="",="",="",="",="0.233***",="0.306***",="0.251***"
="",="",="",="",="",="",="",="(0.073)",="(0.074)",="(0.069)"
="2014 group",="",="",="",="",="",="",="-0.031",="0.085",="0.018"
="",="",="",="",="",="",="",="(0.075)",="(0.076)",="(0.069)"
="2014 bextranj",="",="",="",="",="",="",="0.061",="-0.075",="-0.039"
="",="",="",="",="",="",="",="(0.123)",="(0.127)",="(0.115)"
="2014 exporter",="",="",="",="",="",="",="-0.011",="0.102",="0.076"
="",="",="",="",="",="",="",="(0.095)",="(0.101)",="(0.087)"
="2014 ManufAT",="",="",="",="",="",="",="0.280**",="0.235*",="0.194"
="",="",="",="",="",="",="",="(0.128)",="(0.131)",="(0.121)"
="2014 ManufTM",="",="",="",="",="",="",="0.142*",="0.038",="0.074"
="",="",="",="",="",="",="",="(0.082)",="(0.085)",="(0.076)"
="2014 ServAT",="",="",="",="",="",="",="0.107",="0.075",="0.127"
="",="",="",="",="",="",="",="(0.127)",="(0.131)",="(0.116)"
="2014 ServRest",="",="",="",="",="",="",="-0.025",="-0.003",="-0.045"
="",="",="",="",="",="",="",="(0.114)",="(0.117)",="(0.104)"
="Constant",="-1.970***",="-1.830***",="-1.769***",="-2.445***",="-1.437***",="-1.546***",="-2.449***",="-2.580***",="-2.103***"
="",="(0.205)",="(0.215)",="(0.193)",="(0.242)",="(0.233)",="(0.215)",="(0.282)",="(0.295)",="(0.261)"
="2008 financial_constraints",="",="",="",="",="",="",="",="",=""
="2007 z_cost",="1.596***",="1.581***",="1.582***",="",="",="",="",="",=""
="",="(0.413)",="(0.414)",="(0.414)",="",="",="",="",="",=""
="2007 evolcifra",="-0.180*",="-0.181*",="-0.181*",="",="",="",="",="",=""
="",="(0.109)",="(0.109)",="(0.109)",="",="",="",="",="",=""
="2007 bsupport",="0.151**",="0.151**",="0.151**",="",="",="",="",="",=""
="",="(0.065)",="(0.065)",="(0.065)",="",="",="",="",="",=""
="2007 ln_size",="-0.154***",="-0.154***",="-0.154***",="",="",="",="",="",=""
="",="(0.035)",="(0.035)",="(0.035)",="",="",="",="",="",=""
="2007 ln_age",="-0.068",="-0.068",="-0.068",="",="",="",="",="",=""
="",="(0.042)",="(0.042)",="(0.042)",="",="",="",="",="",=""
="2007 ln_gintidpt",="-0.011",="-0.011",="-0.011",="",="",="",="",="",=""
="",="(0.009)",="(0.009)",="(0.009)",="",="",="",="",="",=""
="2007 depth",="0.047***",="0.047***",="0.047**",="",="",="",="",="",=""
="",="(0.018)",="(0.018)",="(0.018)",="",="",="",="",="",=""
="2007 breadth",="0.002",="0.002",="0.002",="",="",="",="",="",=""
="",="(0.009)",="(0.009)",="(0.009)",="",="",="",="",="",=""
="2007 knowledge_barriers",="0.231***",="0.231***",="0.231***",="",="",="",="",="",=""
="",="(0.058)",="(0.058)",="(0.058)",="",="",="",="",="",=""
="2007 dominated_barrier",="0.331***",="0.330***",="0.330***",="",="",="",="",="",=""
="",="(0.066)",="(0.066)",="(0.066)",="",="",="",="",="",=""
="2007 uncertainty_barrier",="0.172***",="0.173***",="0.173***",="",="",="",="",="",=""
="",="(0.065)",="(0.065)",="(0.065)",="",="",="",="",="",=""
="2007 higher_education",="-0.031",="-0.030",="-0.030",="",="",="",="",="",=""
="",="(0.134)",="(0.134)",="(0.134)",="",="",="",="",="",=""
="2007 bip",="-0.051",="-0.051",="-0.051",="",="",="",="",="",=""
="",="(0.056)",="(0.056)",="(0.056)",="",="",="",="",="",=""
="2007 group",="-0.001",="-0.000",="-0.001",="",="",="",="",="",=""
="",="(0.064)",="(0.064)",="(0.064)",="",="",="",="",="",=""
="2007 bextranj",="-0.182",="-0.183",="-0.182",="",="",="",="",="",=""
="",="(0.114)",="(0.114)",="(0.114)",="",="",="",="",="",=""
="2007 exporter",="-0.003",="-0.003",="-0.003",="",="",="",="",="",=""
="",="(0.065)",="(0.065)",="(0.065)",="",="",="",="",="",=""
="2007 ManufAT",="0.028",="0.028",="0.028",="",="",="",="",="",=""
="",="(0.119)",="(0.119)",="(0.119)",="",="",="",="",="",=""
="2007 ManufTM",="0.012",="0.012",="0.012",="",="",="",="",="",=""
="",="(0.068)",="(0.068)",="(0.068)",="",="",="",="",="",=""
="2007 ServAT",="-0.020",="-0.019",="-0.019",="",="",="",="",="",=""
="",="(0.108)",="(0.108)",="(0.108)",="",="",="",="",="",=""
="2007 ServRest",="0.070",="0.069",="0.069",="",="",="",="",="",=""
="",="(0.093)",="(0.093)",="(0.093)",="",="",="",="",="",=""
="Constant",="-0.236",="-0.230",="-0.230",="",="",="",="",="",=""
="",="(0.232)",="(0.232)",="(0.232)",="",="",="",="",="",=""
="atanhrho_12",="",="",="",="",="",="",="",="",=""
="Constant",="0.099**",="0.057",="0.077*",="0.086*",="0.117**",="0.125***",="-0.017",="-0.007",="-0.002"
="",="(0.047)",="(0.049)",="(0.044)",="(0.052)",="(0.051)",="(0.047)",="(0.055)",="(0.056)",="(0.050)"
="2012 financial_constraints",="",="",="",="",="",="",="",="",=""
="2011 z_cost",="",="",="",="2.026***",="2.045***",="2.035***",="",="",=""
="",="",="",="",="(0.360)",="(0.360)",="(0.359)",="",="",=""
="2011 evolcifra",="",="",="",="-0.171*",="-0.169",="-0.170*",="",="",=""
="",="",="",="",="(0.103)",="(0.103)",="(0.103)",="",="",=""
="2011 bsupport",="",="",="",="0.087",="0.086",="0.087",="",="",=""
="",="",="",="",="(0.068)",="(0.068)",="(0.068)",="",="",=""
="2011 ln_size",="",="",="",="-0.103***",="-0.103***",="-0.104***",="",="",=""
="",="",="",="",="(0.034)",="(0.034)",="(0.034)",="",="",=""
="2011 ln_age",="",="",="",="-0.012",="-0.012",="-0.012",="",="",=""
="",="",="",="",="(0.051)",="(0.051)",="(0.051)",="",="",=""
="2011 ln_gintidpt",="",="",="",="-0.008",="-0.008",="-0.008",="",="",=""
="",="",="",="",="(0.008)",="(0.008)",="(0.008)",="",="",=""
="2011 depth",="",="",="",="0.052***",="0.052***",="0.052***",="",="",=""
="",="",="",="",="(0.018)",="(0.018)",="(0.018)",="",="",=""
="2011 breadth",="",="",="",="0.002",="0.002",="0.002",="",="",=""
="",="",="",="",="(0.009)",="(0.009)",="(0.009)",="",="",=""
="2011 knowledge_barriers",="",="",="",="0.170***",="0.170***",="0.170***",="",="",=""
="",="",="",="",="(0.062)",="(0.062)",="(0.062)",="",="",=""
